# Andrea 07-Jul-2020 15:51:38
APOGEE_ID, KIC, RA, DEC, FE_H, A_FE, age, age_68L, age_68U, mass, mass_68L, mass_68U, dist, dist_68L, dist_68U, Av, Av_68L, Av_68U, evstate 
  2M19250937+3644599        1027110  291.28906   36.74998   -0.23222    0.20453   16.21240   11.35010   24.19380    0.88400    0.79430    0.97540 2598.21300 2536.53020 2663.68080    0.34960    0.24220    0.46480    0
  2M19252021+3647118        1027337  291.33421   36.78664    0.27517    0.02257    6.01380    4.84170    7.56030    1.23040    1.16580    1.31810 1232.91900 1214.50690 1251.66860    0.24010    0.17500    0.31410    1
  2M19233280+3652207        1160789  290.88667   36.87243   -0.25745    0.18750   16.55610   12.62700   21.61870    0.85310    0.80700    0.91190  668.89360  658.41530  678.48950    0.09830    0.05220    0.17480    2
  2M19241746+3651460        1161447  291.07278   36.86280    0.05792   -0.00560    4.92870    4.16970    6.09340    1.24590    1.16940    1.32780 2255.72310 2238.46260 2272.41400    0.37250    0.34500    0.41210    2
  2M19242614+3648478        1161618  291.10892   36.81329    0.06420    0.00514    7.12640    5.95660    8.33950    1.10530    1.05190    1.17030  775.36490  766.47840  784.29350    0.22910    0.16760    0.26480    2
  2M19245791+3653298        1162220  291.24133   36.89162    0.08306    0.07026   13.99970   10.35140   19.22270    0.94570    0.87900    1.04490 1451.61330 1420.69210 1484.17640    0.30260    0.20500    0.40490    1
  2M19252639+3649116        1162746  291.35998   36.81989   -0.38812    0.22901   12.39270    8.41400   16.72930    0.89750    0.83940    0.98680 1422.27590 1393.86260 1453.75050    0.27520    0.19500    0.34200    2
  2M19254564+3650475        1163114  291.44020   36.84655    0.29729    0.02494    4.80450    3.67280    6.31830    1.31960    1.23020    1.43320 2959.80260 2907.36810 3014.80020    0.41980    0.33500    0.50080    1
  2M19255838+3650557        1163359  291.49327   36.84881   -0.33866    0.21823    3.24700    2.53450    4.11950    1.36360    1.28220    1.47340 2291.78360 2255.90050 2330.78910    0.27550    0.18500    0.33790    1
  2M19261297+3648265        1163621  291.55407   36.80738    0.02810    0.00514    1.89680    1.70690    1.97190    1.69680    1.67480    1.77670 1634.04740 1620.31660 1646.22370    0.37170    0.33500    0.42020    2
  2M19250718+3654252        1294122  291.27992   36.90702   -0.00896    0.00458    4.15630    3.28100    5.18640    1.31290    1.23970    1.40590 1268.51590 1249.42450 1286.73480    0.23810    0.15500    0.29770    1
  2M19252149+3654097        1294385  291.33955   36.90270    0.10649   -0.01105    4.09690    3.27340    5.15700    1.35460    1.27050    1.43990  638.87730  630.23120  649.12020    0.08220    0.01500    0.15340    1
  2M19264481+3658152        1296068  291.68673   36.97090    0.04340    0.06081   13.56550   10.52450   16.40690    0.96040    0.91340    1.03260 1603.46760 1583.06920 1626.77090    0.36910    0.29500    0.41770    1
  2M19270812+3657217        1296507  291.78385   36.95604    0.02192   -0.00709    2.90600    2.36920    3.75870    1.44070    1.36140    1.54470 1602.26740 1579.42880 1627.10030    0.29870    0.22500    0.36450    1
  2M19225688+3702125        1429505  290.73700   37.03682   -0.05295    0.01624    7.75730    5.95660   10.12070    1.10890    1.02220    1.17470 1229.11670 1207.28550 1248.78650    0.39090    0.30630    0.47500    1
  2M19243068+3701290        1431059  291.12787   37.02473    0.10757    0.03383    7.72680    6.09540    9.67020    1.12720    1.05670    1.19740 1254.05390 1235.49210 1272.04560    0.44550    0.37430    0.51490    1
  2M19264298+3704199        1433593  291.67912   37.07222    0.15737   -0.00669    2.46700    2.01840    3.13910    1.56500    1.47000    1.66700 1159.07390 1141.56350 1177.10310    0.24230    0.18920    0.33480    1
  2M19265020+3703054        1433730  291.70919   37.05151   -0.02861   -0.00416    2.67100    1.71950    2.85010    1.51830    1.48910    1.72180 1049.91430 1036.33480 1082.03400    0.37610    0.31500    0.51300    1
  2M19265417+3702187        1433803  291.72573   37.03853    0.26676   -0.00594    7.20860    5.76370    9.01340    1.17510    1.10650    1.25230  387.06140  381.44330  393.08440    0.13370    0.06500    0.20840    1
  2M19222920+3710285        1569842  290.62167   37.17460   -0.24068    0.11591    9.82440    7.85230   12.58430    1.00160    0.93320    1.05840  619.03640  609.52280  628.75790    0.07220   -0.00650    0.14490    1
  2M19241413+3711431        1571780  291.05891   37.19531    0.22042   -0.00818    0.96130    0.74990    1.13720    2.38050    2.17760    2.57060 1116.32270 1100.27210 1132.77610    0.41660    0.34330    0.47480    2
  2M19243591+3706204        1572175  291.14964   37.10568    0.01063   -0.00664    2.70040    2.11350    3.34320    1.50660    1.41240    1.60690 1387.05190 1366.15490 1409.10490    0.43860    0.35750    0.50490    1
  2M19274289+3709135        1575886  291.92873   37.15377   -0.03304   -0.01978    0.95600    0.91750    1.01120    2.03820    1.99830    2.06040 1180.25250 1173.54560 1188.59410    0.38210    0.36830    0.41480    2
  2M19275029+3706248        1576043  291.95956   37.10690    0.09396    0.01678   10.14400    5.54370   16.03390    1.07260    0.91250    1.23580 3311.54890 3175.70400 3439.39190    0.50870    0.35160    0.69480    1
  2M19281017+3706444        1576469  292.04238   37.11235    0.11471   -0.01070    0.73390    0.66830    0.91200    2.35650    2.15820    2.42070  853.06290  838.33950  863.95210    0.16740    0.06800    0.22490    2
  2M19222314+3712209        1717618  290.59644   37.20582    0.08027   -0.00563    2.16120    1.76640    2.66080    1.62330    1.52040    1.70810 1060.19390 1045.92360 1074.63280    0.20170    0.13300    0.26490    1
  2M19240173+3716003        1719297  291.00721   37.26675   -0.02002    0.00347    5.13230    2.48310   11.34830    1.24820    0.97720    1.52240 2261.11980 2118.31190 2390.46630    0.52360    0.27760    0.78490    1
  2M19240872+3712254        1719422  291.03637   37.20706   -0.24268    0.02300    4.04800    3.27340    5.05620    1.27310    1.19670    1.35160 1473.47500 1452.51310 1494.45990    0.44640    0.37500    0.50480    1
  2M19251052+3715499        1720425  291.29384   37.26387   -0.15905    0.03951   10.62710    8.46640   13.02710    0.96140    0.90090    0.99540  935.51520  925.76360  946.77050    0.56910    0.52250    0.61480    2
  2M19272602+3717271        1723047  291.85843   37.29089   -0.08555   -0.01685    2.84330    2.33450    3.67140    1.43310    1.34450    1.52040 1247.63470 1230.09900 1266.14870    0.28170    0.21860    0.35490    1
  2M19280136+3717594        1723752  292.00571   37.29984   -0.12008    0.02248    4.61240    3.67280    5.87770    1.23910    1.16730    1.32420  992.37690  977.57450 1008.05570    0.24140    0.17500    0.32270    1
  2M19280451+3713548        1723843  292.01882   37.23191   -0.19801    0.03615    2.86640    2.31740    3.64610    1.42400    1.32430    1.50110 1206.73530 1187.13490 1222.72480    0.51870    0.44500    0.57760    1
  2M19291057+3713306        1725190  292.29406   37.22518    0.00515   -0.03156    0.89430    0.82220    0.98950    2.09020    2.02310    2.14760  485.94440  481.39330  491.08490    0.12870    0.07520    0.16490    2
  2M19292749+3717501        1725552  292.36458   37.29727    0.09474   -0.00551    8.86650    5.56030   13.03420    1.07680    0.95520    1.21880 1601.26350 1554.17490 1651.26120    0.24160    0.11500    0.38480    1
  2M19300107+3717340        1726211  292.50447   37.29278   -0.53290    0.25785    4.46460    3.67280    5.73520    1.21160    1.11680    1.29600 1274.65330 1256.00120 1292.66120    0.20310    0.15500    0.26960    2
  2M19300260+3715187        1726245  292.51087   37.25521    0.13602    0.00093    2.12520    2.03990    2.21260    1.65750    1.62920    1.68280 1425.57970 1417.42450 1435.14700    0.43210    0.40630    0.46480    2
  2M19300513+3717470        1726291  292.52139   37.29641   -0.34123    0.18947   10.12180    8.03530   12.82330    0.97910    0.92280    1.04710 1169.89910 1152.12600 1187.85050    0.42910    0.34830    0.49500    1
  2M19215572+3722208        1864183  290.48217   37.37245    0.19980    0.00767    7.66300    6.83910    9.19090    1.13920    1.09640    1.19820  954.72030  945.14820  964.63830    0.24280    0.20500    0.29240    1
  2M19223280+3720441        1864855  290.63667   37.34560    0.00194   -0.00256    4.17050    3.34970    5.27430    1.30620    1.23590    1.39870  836.25600  823.60690  848.17990    0.30330    0.23380    0.37490    1
  2M19225594+3722386        1865262  290.73312   37.37740   -0.25379    0.08539    6.20260    4.95450    7.91970    1.15710    1.05260    1.19660 1658.48770 1631.81130 1680.75970    0.42000    0.34500    0.48580    1
  2M19231500+3723566        1865595  290.81253   37.39906   -0.07293    0.03358    9.13210    6.83910   11.98700    1.04530    0.96780    1.13230 1700.78710 1669.16800 1734.87240    0.38150    0.29500    0.47220    1
  2M19232346+3722342        1865747  290.84778   37.37619    0.04141   -0.00815    4.10090    3.29080    5.18580    1.32460    1.25130    1.41890  778.67270  766.47840  790.40910    0.27640    0.19500    0.34290    1
  2M19251940+3718402        1867706  291.33087   37.31119    0.17732   -0.00844    2.74510    2.16270    3.33190    1.53230    1.44270    1.62910  889.49240  876.43560  902.57730    0.62200    0.54500    0.68400    1
  2M19253987+3722022        1868101  291.41614   37.36728    0.32200    0.00470    8.48190    7.49890    9.71760    1.09410    1.04560    1.13750 1320.08310 1308.27780 1331.94170    0.76640    0.72500    0.78810    2
  2M19273132+3720509        1870196  291.88050   37.34748    0.02675    0.01879    5.94620    4.73150    7.52640    1.19480    1.12040    1.27040 1058.08900 1041.11790 1074.09820    0.36810    0.28500    0.43350    1
  2M19282389+3723239        1871314  292.09958   37.39000    0.35328    0.03267    7.15530    4.41570    7.56450    1.20050    1.18020    1.37050 2291.05400 2225.35810 2325.34250    0.47270    0.37500    0.55530    1
  2M19285600+3723192        1871927  292.23334   37.38868    0.19937    0.02025    7.14090    5.73320    9.22250    1.18080    1.09390    1.24720 1661.81830 1634.93320 1687.70390    0.43920    0.35500    0.50660    1
  2M19290894+3719028        1872166  292.28729   37.31746    0.08633   -0.02113    1.08190    0.99220    1.16100    2.05980    1.99510    2.15260 1397.11580 1382.83370 1410.87350    0.37990    0.34500    0.44120    2
  2M19292379+3718156        1872469  292.34915   37.30434    0.14550    0.03026    8.48220    5.64160    9.43830    1.10940    1.08140    1.24620 2317.44130 2282.96840 2372.21020    0.39020    0.33480    0.52500    1
  2M19292584+3718503        1872517  292.35770   37.31398   -0.28415    0.16925   12.51650    9.88550   16.15430    0.92650    0.87190    0.99530 2402.25150 2364.01360 2440.54730    0.40940    0.32180    0.47480    1
  2M19301911+3720339        1873510  292.57966   37.34277   -0.64318    0.19711    5.47760    4.26970    6.52970    1.12230    1.05670    1.21880 4698.04680 4639.80890 4768.74650    0.36920    0.30500    0.41870    2
  2M19042363+3729046        1995358  286.09846   37.48461   -0.29457    0.04924    6.94500    5.68460    9.88290    0.97960    0.94180    1.10860 2657.03500 2621.19870 2732.80410    0.27440    0.20500    0.35250    2
  2M19050006+3728563        1995859  286.25025   37.48231   -0.10687    0.01722    2.11100    1.95030    2.26390    1.59500    1.55420    1.62910 1156.03130 1146.83230 1166.75580    0.23890    0.20500    0.29420    2
  2M19051489+3729091        1996078  286.31207   37.48587   -0.05587    0.01053    5.78640    4.62380    7.35510    1.19350    1.11170    1.26050 1862.72050 1834.42530 1890.62590    0.27890    0.19500    0.34220    1
  2M19053929+3725383        1996415  286.41372   37.42732    0.17161    0.05036    9.19240    7.18450   11.35070    1.08590    1.02540    1.16400 1470.40570 1449.30540 1494.47820    0.31770    0.25500    0.40080    1
  2M19225839+3728552        2011582  290.74329   37.48201    0.41014    0.03440    1.15230    1.01300    1.42830    2.25400    2.02600    2.32250 2315.38020 2285.70330 2346.86330    0.51690    0.44670    0.55480    2
  2M19231796+3728151        2011891  290.82484   37.47087    0.30767    0.00360    6.56660    5.30880    8.24130    1.19160    1.14810    1.29780  879.64130  866.46310  892.23830    0.27310    0.21500    0.35110    1
  2M19244585+3729385        2013502  291.19104   37.49404    0.04247   -0.01739    1.45140    1.35150    1.49580    1.86000    1.83640    1.94940 1572.12080 1558.54750 1586.66840    0.57160    0.53500    0.63160    2
  2M19265758+3728035        2015820  291.73994   37.46765    0.03680   -0.00884    2.51800    2.11350    2.79050    1.53850    1.49270    1.64430  621.15030  615.88530  626.99780    0.13190    0.10610    0.20480    2
  2M19274515+3727100        2016676  291.93815   37.45279    0.05681   -0.00025    0.96330    0.88100    1.07200    2.13380    2.02290    2.20690 1301.26850 1287.33000 1313.66860    0.43270    0.39500    0.47620    2
  2M19274667+3727398        2016706  291.94450   37.46106   -0.03236   -0.00898    3.84150    3.58920    4.45870    1.32170    1.26590    1.35500  934.38060  927.38480  942.94870    0.35670    0.31540    0.39490    2
  2M19275725+3725189        2016978  291.98854   37.42193    0.07243    0.02871    7.37880    5.82100    9.27810    1.13360    1.06820    1.21320 1857.42860 1830.20610 1885.09900    0.40310    0.33160    0.47490    1
  2M19282778+3725510        2017541  292.11577   37.43086    0.14054    0.01997    7.03040    5.06990    9.92000    1.17370    1.05860    1.28210 1575.96230 1539.04010 1616.14830    0.44520    0.32840    0.54500    1
  2M19290899+3726467        2018283  292.28749   37.44633    0.22182   -0.00594    4.96550    4.02720    6.34410    1.27960    1.21330    1.37430 1305.27220 1283.80750 1323.15710    0.47010    0.39280    0.53500    1
  2M19291520+3729271        2018392  292.31334   37.49089   -0.08173    0.01508    4.99000    3.87970    6.23740    1.23870    1.16050    1.32410 1493.86340 1470.61820 1516.62580    0.38190    0.31500    0.46130    1
  2M19292262+3728081        2018537  292.34429   37.46894    0.25625   -0.00058    4.80320    3.89940    6.09370    1.30180    1.23410    1.39300 1068.44730 1053.17380 1084.62080    0.46450    0.39660    0.53490    1
  2M19034433+3734348        2140446  285.93474   37.57635    0.30245    0.01351    7.29570    5.76240    8.80760    1.18600    1.12710    1.26830 1136.39820 1123.31080 1150.02400    0.30330    0.25500    0.35250    1
  2M19045244+3731146        2141255  286.21853   37.52075   -0.19361    0.03129    6.34930    5.06990    8.03330    1.14480    1.05360    1.19120 1286.33370 1267.03870 1304.63490    0.24010    0.18400    0.32480    1
  2M19054142+3731262        2141928  286.42259   37.52397    0.16704    0.00493    7.17560    5.95660    8.61240    1.11400    1.05460    1.18020  941.32010  930.03640  953.53520    0.24050    0.20500    0.30460    2
