,APOGEE_ID,KIC,RA,DEC,FE_H,A_FE,age,age_68L,age_68U,mass,mass_68L,mass_68U,dist,dist_68L,dist_68U,Av,Av_68L,Av_68U,evstate
0,2M19250937+3644599,1027110,291.28906,36.74998,-0.23221999999999998,0.20453,16.2124,11.3501,24.1938,0.884,0.7943,0.9754,2598.213,2536.5302,2663.6808,0.3496,0.2422,0.4648,0
1,2M19252021+3647118,1027337,291.33421,36.786640000000006,0.27516999999999997,0.02257,6.0138,4.8417,7.5603,1.2304,1.1658,1.3181,1232.919,1214.5069,1251.6686,0.2401,0.175,0.3141,1
2,2M19233280+3652207,1160789,290.88667000000004,36.87243,-0.25745,0.1875,16.5561,12.627,21.6187,0.8531,0.807,0.9119,668.8936,658.4153,678.4895,0.0983,0.0522,0.1748,2
3,2M19241746+3651460,1161447,291.07277999999997,36.8628,0.057920000000000006,-0.0056,4.9287,4.1697,6.0934,1.2459,1.1694,1.3278,2255.7231,2238.4626,2272.414,0.3725,0.345,0.4121,2
4,2M19242614+3648478,1161618,291.10892,36.81329,0.0642,0.00514,7.1264,5.9566,8.3395,1.1053,1.0519,1.1703,775.3649,766.4784,784.2935,0.2291,0.1676,0.2648,2
5,2M19245791+3653298,1162220,291.24133,36.89162,0.08306000000000001,0.07026,13.9997,10.3514,19.2227,0.9457,0.879,1.0449,1451.6133,1420.6921,1484.1764,0.3026,0.205,0.4049,1
6,2M19252639+3649116,1162746,291.35998,36.81989,-0.38811999999999997,0.22901,12.3927,8.414,16.7293,0.8975,0.8394,0.9868,1422.2759,1393.8626,1453.7505,0.2752,0.195,0.342,2
7,2M19254564+3650475,1163114,291.4402,36.84655,0.29729,0.02494,4.8045,3.6728,6.3183,1.3196,1.2302,1.4332,2959.8026,2907.3681,3014.8002,0.4198,0.335,0.5008,1
8,2M19255838+3650557,1163359,291.49327,36.84881,-0.33866,0.21823,3.247,2.5345,4.1195,1.3636,1.2822,1.4734,2291.7836,2255.9005,2330.7891,0.2755,0.185,0.3379,1
9,2M19261297+3648265,1163621,291.55407,36.80738,0.0281,0.00514,1.8968,1.7069,1.9719,1.6968,1.6748,1.7767,1634.0474,1620.3166,1646.2237,0.3717,0.335,0.4202,2
10,2M19250718+3654252,1294122,291.27992,36.90702,-0.00896,0.00458,4.1563,3.281,5.1864,1.3129,1.2397,1.4059,1268.5159,1249.4245,1286.7348,0.2381,0.155,0.2977,1
11,2M19252149+3654097,1294385,291.33955,36.9027,0.10649000000000002,-0.01105,4.0969,3.2734,5.157,1.3546,1.2705,1.4399,638.8773,630.2312,649.1202,0.0822,0.015,0.1534,1
12,2M19264481+3658152,1296068,291.68672999999995,36.9709,0.0434,0.06081,13.5655,10.5245,16.4069,0.9604,0.9134,1.0326,1603.4676,1583.0692,1626.7709,0.3691,0.295,0.4177,1
13,2M19270812+3657217,1296507,291.78385,36.95604,0.02192,-0.007090000000000001,2.906,2.3692,3.7587,1.4407,1.3614,1.5447,1602.2674,1579.4288,1627.1003,0.2987,0.225,0.3645,1
14,2M19225688+3702125,1429505,290.737,37.03682,-0.05295,0.01624,7.7573,5.9566,10.1207,1.1089,1.0222,1.1747,1229.1167,1207.2855,1248.7865,0.3909,0.3063,0.475,1
15,2M19243068+3701290,1431059,291.12787000000003,37.02473,0.10757,0.03383,7.7268,6.0954,9.6702,1.1272,1.0567,1.1974,1254.0539,1235.4921,1272.0456,0.4455,0.3743,0.5149,1
16,2M19264298+3704199,1433593,291.67912,37.07222,0.15737,-0.006690000000000001,2.467,2.0184,3.1391,1.565,1.47,1.667,1159.0739,1141.5635,1177.1031,0.2423,0.1892,0.3348,1
17,2M19265020+3703054,1433730,291.70919,37.05151,-0.028610000000000003,-0.0041600000000000005,2.671,1.7195,2.8501,1.5183,1.4891,1.7218,1049.9143,1036.3348,1082.034,0.3761,0.315,0.513,1
18,2M19265417+3702187,1433803,291.72573,37.03853,0.26676,-0.00594,7.2086,5.7637,9.0134,1.1751,1.1065,1.2523,387.0614,381.4433,393.0844,0.1337,0.065,0.2084,1
