,APOGEE_ID_1,source_id,LOGG,TEFF,ALPHA_M,M_H,C_FE,N_FE,G,BP,RP,J,H,K,LOGG_ERR,TEFF_ERR,ALPHA_M_ERR,M_H_ERR,C_FE_ERR,N_FE_ERR,G_ERR,BP_ERR,RP_ERR,J_ERR,H_ERR,K_ERR,age,age_68U,age_68L,ageErr,logAge,logAgeErr,distKpc,distKpc_68u,distKpc_68l,distErrKpc,logDistKpc,logDistKpcErr
0,2M19252021+3647118,2050240782362231552,2.8228376,4636.026,0.02257244,0.27517354,0.020502388,0.41945475,12.049109,12.669947,11.320031,10.325999999999999,9.766,9.628,0.04842447,67.26632,0.009795426,0.024443073,0.023340182,0.03563299,0.0001565919480939204,0.0021563268044233475,0.0005514501435033292,0.022000000000000002,0.022000000000000002,0.018000000000000002,6.0138,7.5603,4.8417,1.3592999999999997,0.7791489807414373,0.0967705763778251,1.232919,1.2516686,1.2145069000000002,0.01858084999999994,0.09093454536413258,0.006544685460569508
1,2M19241746+3651460,2050255316531404032,2.4325676,4776.106,-0.005595484699999999,0.05791936,-0.08835684,0.34260416,12.584685,13.218509,11.843049,10.865,10.28,10.174,0.04321202,86.18295,0.013067826000000001,0.028766583999999998,0.03551761,0.049848985,0.00018183668783366969,0.001526757117913391,0.0006350499675178423,0.021,0.019,0.017,4.9287,6.0934,4.1697,0.9618500000000001,0.6927323843325118,0.0823774392952209,2.2557231,2.2724140000000004,2.2384625999999996,0.016975700000000187,0.3532857870122249,0.0032688068015868654
2,2M19261297+3648265,2051694027492941696,2.5265129,4933.181,0.005142078,0.028101966000000003,-0.20398395,0.40858608,11.720373,12.297697,11.022558,10.107000000000001,9.558,9.472999999999999,0.043895647,84.66853,0.012303136000000001,0.03268179,0.037435397999999995,0.05372048,0.00017733889993709617,0.0014062079497989544,0.0009917577365314845,0.022000000000000002,0.018000000000000002,0.018000000000000002,1.8968,1.9719,1.7069,0.13249999999999995,0.27802154097013176,0.031338404301857026,1.6340473999999998,1.6462237,1.6203166000000002,0.012953549999999951,0.21326465027465197,0.003444484211453769
3,2M19250718+3654252,2050245627085389184,2.7750301,4803.0825,0.004582569,-0.008960437,-0.14111564,0.37312436,11.912818,12.497253,11.213191,10.265,9.744,9.642000000000001,0.05472397,74.99371,0.012267513,0.031249076,0.032542717,0.04810175,0.0001541443802577369,0.0012485678024565239,0.0006959079103230348,0.021,0.02,0.018000000000000002,4.1563,5.1864,3.281,0.9526999999999999,0.618706887211025,0.09942988910439982,1.2685159000000001,1.2867347999999998,1.2494245000000002,0.018655149999999936,0.10329591518328014,0.006389514456266121
4,2M19252149+3654097,2050244733732234112,2.9301880000000002,4818.798,-0.011045389,0.10648778,-0.20906022,0.3827798,10.622860000000001,11.168686,9.956337,9.085,8.595,8.465,0.05263355,75.458885,0.011194486000000002,0.029646,0.030711627000000002,0.045552094,0.00029214675143607316,0.0009578055136583163,0.0006228063708069165,0.018000000000000002,0.021,0.018000000000000002,4.0969,5.157,3.2734,0.9418,0.6124553635191139,0.09869902666401714,0.6388773,0.6491201999999999,0.6302312,0.009444500000000005,-0.19458254254539714,0.006412612386622524
7,2M19225688+3702125,2051009615863922176,2.6084464,4678.4697,0.016243339,-0.052954315999999994,-0.030310377000000003,0.23049161,11.939016,12.591486,11.183847,10.172,9.591000000000001,9.472000000000001,0.05687601,72.55851,0.013094416000000001,0.029570876,0.031037195,0.04575577,0.00019568694921257013,0.0013054205300966348,0.0008109314521720368,0.021,0.021,0.017,7.7573,10.1207,5.9566,2.0820499999999997,0.8897105873479112,0.11510605721841138,1.2291167,1.2487865,1.2072855,0.020750499999999988,0.08959311946897779,0.007339105267444031
9,2M19264298+3704199,2051751030300733440,2.7493687,4778.753,-0.0066905969999999995,0.1573707,-0.14291429999999997,0.40037572,11.502472000000001,12.109900999999999,10.782877000000001,9.825,9.304,9.168,0.05142626,73.552635,0.010752442,0.028208299,0.028667342000000002,0.042817157,0.0003738460532742849,0.0012302233165162324,0.0005502959767855753,0.021,0.021,0.018000000000000002,2.467,3.1391,2.0184,0.5603499999999999,0.392169149489736,0.09589895670539797,1.1590739,1.1771031,1.1415635,0.017769800000000033,0.06411112650635528,0.006657214562389727
10,2M19265417+3702187,2051703785658841600,3.0057554,4725.7114,-0.0059442353000000005,0.26675865,-0.05527991,0.49632612,10.14762,10.730017,9.466419,8.538,8.046,7.942,0.04913313,71.02375,0.009859969,0.02582868,0.02549116,0.038499158,0.0005158959597528767,0.0007682159202093697,0.0012528055450700126,0.02,0.02,0.018000000000000002,7.2086,9.0134,5.7637,1.6248500000000003,0.8578509275054726,0.09709363851441355,0.3870614,0.3930844,0.38144330000000004,0.005820549999999997,-0.4122201368775408,0.006527908859375514
11,2M19222920+3710285,2051023703356661632,3.0249872000000004,4799.673,0.1159119,-0.24067989,0.016828671,0.14949188,11.07405,11.602337,10.42623,9.589,9.074,8.988999999999999,0.059392735,75.36345,0.014741091000000001,0.035300966,0.037537068,0.054917753,0.0003991563292327083,0.002605837873693728,0.0009784270673296458,0.022000000000000002,0.016,0.018000000000000002,9.8244,12.5843,7.8523,2.3660000000000005,0.9923060364371838,0.10241608967954902,0.6190363999999999,0.6287579,0.6095227999999999,0.009617549999999994,-0.20828381325070733,0.006746749579192954
12,2M19243591+3706204,2050262532076761728,2.6302462,4725.1147,-0.00663984,0.010632023,-0.10312422,0.29050577,11.823839,12.457073,11.084052999999999,10.078,9.509,9.361,0.05380203,71.50612,0.012079535,0.029591737000000003,0.029909803999999998,0.044651892,0.0001890994103126431,0.001307604899921655,0.0007332273252880217,0.021,0.02,0.017,2.7004,3.3432,2.1135,0.6148499999999999,0.43142809931678266,0.09958005298526593,1.3870519,1.4091049,1.3661549,0.021475000000000022,0.14209271158655995,0.006721690482882375
