,Unnamed: 0,APOGEE_ID_1,source_id,LOGG,TEFF,ALPHA_M,M_H,C_FE,N_FE,G,BP,RP,J,H,K,LOGG_ERR,TEFF_ERR,ALPHA_M_ERR,M_H_ERR,C_FE_ERR,N_FE_ERR,G_ERR,BP_ERR,RP_ERR,J_ERR,H_ERR,K_ERR,age,age_68U,age_68L,ageErr,logAge,logAgeErr,distKpc,distKpc_68u,distKpc_68l,distErrKpc,logDistKpc,logDistKpcErr
227,302,2M19412154+3843123,2076159569965114624,2.8788552000000003,4841.8115,0.064925514,-0.28775343,-0.039784163,0.17662983,10.5688,11.106754,9.905801,9.026,8.487,8.411,0.060723357,77.41837,0.015300801,0.03707429,0.04020546,0.058407564,0.000205008299883902,0.0009405655179051119,0.0006253291647906334,0.021,0.017,0.018000000000000002,7.3244,9.2231,5.8939,1.6646,0.8647720539596887,0.09723707719886072,0.6052862999999999,0.6140436,0.5963482,0.008847699999999974,-0.21803915576155275,0.006349648234196259
365,464,2M19282346+3924283,2053168816185494144,2.5794022,4972.5083,0.0009669587,0.0054543130000000006,-0.22655484,0.42195517,11.217482,11.782956,10.539677,9.651,9.18,9.025,0.043904692,83.0326,0.012125778,0.034124207000000004,0.037716217,0.05469937,0.00047373588196841787,0.0016149328435288712,0.0009704993497905433,0.021,0.022,0.018000000000000002,1.3396,1.3641,1.3044,0.029850000000000043,0.1269751388678292,0.009717709395425649,1.2681076,1.2778791,1.2583456000000002,0.00976675,0.103156105362475,0.003344916168040661
2924,3184,2M19045044+5011175,2133605238575768064,3.0563083,4862.714,0.206148,-0.37506044,0.008855075,0.08408895,12.846565,13.349918,12.205154,11.378,10.85,10.779000000000002,0.07053336,88.794464,0.01793929,0.038354594,0.048813824000000006,0.067364424,0.00019259533959758993,0.0014652512276369654,0.0008349496168436055,0.027000000000000003,0.03,0.021,9.1664,11.637,7.3282,2.1544000000000003,0.9621988049055372,0.10042186040316793,1.2293888000000002,1.2487754999999998,1.2116577,0.018558899999999996,0.08968925228544562,0.006552211527268655
2501,2743,2M19425864+4750350,2080649799347029632,3.0529745,4686.2637,0.08037111,0.21296999,0.014722332,0.28553832,11.430192,12.021005,10.728574,9.816,9.27,9.157,0.049825437,69.45336,0.010289934,0.02599202,0.025418654,0.03847182,0.00027764672316799016,0.0016000217577494258,0.0008484434938216268,0.021,0.018000000000000002,0.016,9.4485,11.7179,7.4989,2.1095,0.975362867405554,0.09692611262137728,0.6509855999999999,0.6614293000000001,0.6415639,0.009932700000000013,-0.18642861805194225,0.0066217553144333205
2001,2211,2M19430881+4544039,2080005141938797440,2.613571,4663.5977,-0.0046732146,0.18186009,-0.15110435,0.33191565,11.439212,12.064994,10.711782,9.744,9.162,9.023,0.050231382000000005,68.56801,0.010547116,0.026089456,0.025380794,0.0384613,0.0003140328759398958,0.0018416772255436253,0.0008503115026825547,0.021,0.017,0.012,3.6928,4.298,3.3497,0.4741500000000001,0.5673557871396187,0.05413024895163676,1.2434287,1.2632826000000001,1.2254623,0.018910150000000046,0.09462088724621427,0.006600279581860193
1811,2015,2M19163704+4456013,2127149937091515776,2.561172,4600.838,0.17103471,-0.11691855,0.08137588,0.18235388,13.002666,13.611172,12.280242,11.289,10.755,10.640999999999998,0.057293005,68.97648000000001,0.013718963999999998,0.029319663,0.029907502,0.044451967,0.0003586444319436666,0.0011894900871434186,0.0007874972450128138,0.022,0.017,0.012,13.7009,16.3997,11.5319,2.4338999999999995,1.136749096513753,0.0764675179292027,1.9637623,1.9883316000000002,1.9426738,0.02282889999999997,0.2930889182544706,0.005044465807899717
2112,2323,2M19521782+4615586,2079529156482334848,2.5900548,4921.6553,-0.0074331537,-0.07275654,-0.18520103,0.313909,12.897192,13.512152,12.164964,11.144,10.659,10.53,0.046520818,87.9797,0.013751115,0.03397206,0.041138146,0.057928514,0.00028971067563610115,0.0011777604524432215,0.0008221841035815912,0.022,0.018000000000000002,0.016,1.8209,2.2639,1.4962,0.38385,0.2602860959098593,0.08993379453339201,1.9975542000000002,2.026462,1.9701531000000003,0.02815445,0.3004985719367552,0.00611924397232097
407,513,2M19035057+3946161,2100666889566326144,2.5213678,4658.55,0.012701206,-0.057033956,-0.05267533,0.25026667,12.364121,13.016154,11.605021,10.572,9.942,9.812,0.05788224,73.11679000000002,0.0133283865,0.0291878,0.031141723,0.045676845999999986,0.00019970915508205067,0.0017950087980700413,0.0006793307598307319,0.02,0.02,0.018000000000000002,5.7203,7.3251,4.4906,1.41725,0.7574188058783455,0.10625459294858296,1.8895717,1.9197805,1.8599444,0.029918049999999995,0.2763633759162036,0.0068758070828307824
1987,2197,2M19010868+4542564,2106417507178996736,2.514297,4866.324000000001,0.03164497,-0.05084208,-0.0503792,0.2702248,12.52915,13.065733,11.866285,11.003,10.501,10.397,0.04267241,78.00678,0.012680691,0.03311762,0.035421714,0.05187474,0.00021952079991449655,0.0022757522998317907,0.00104406098082932,0.022,0.016,0.014,2.8176,3.0539,2.6206,0.21665,0.4498793386232017,0.03322703764460255,2.5742133,2.591132,2.5579376000000003,0.01659719999999993,0.41064452981584376,0.002799795999097854
2922,3182,2M19474410+5000056,2087241646435921536,2.496403,4796.15,0.0064390674,0.05182397,-0.09025686,0.36955014,11.662681,12.298202,10.923731,9.9,9.355,9.22,0.039740738,74.54982,0.011690532,0.030134143,0.031124175,0.046170194000000005,0.00019580609887048797,0.0013550721795985154,0.0008467626674713014,0.021,0.018000000000000002,0.016,4.9956,5.9552,3.2539,1.35065,0.6985876569344022,0.13124607476780648,1.4640534,1.4740343,1.4514431,0.011295600000000036,0.16555691750269233,0.0033537871563400212
